date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,SOLUSDT_PERP,XRPUSDT_PERP
2023-06-02,77430.16567196237,285201.48850312433,385089.4551322247,-53127.66403264094,76039.54197970685
2023-06-03,74202.78889928682,282776.9508802462,385754.37943993276,-54426.10844526474,78424.25886382128
2023-06-04,70978.16958869871,280175.3928955801,386764.70036197256,-55148.550485760614,80865.3186060314
2023-06-05,68534.1680344349,276781.94379736093,387639.9266521735,-56147.472266548226,83153.71988255989
2023-06-06,65543.81216910087,276027.2560912728,389511.8595997448,-57250.415298521664,86433.80033159301
2023-06-07,62650.04393996507,274621.2857886492,390432.4986616959,-58829.32971802272,89634.50831838147
2023-06-08,59678.01895116006,273579.4915801339,391026.210625402,-60736.57980052322,93119.72707485457
2023-06-09,56801.927876722744,272379.8145298146,391501.62587385543,-62705.45087809297,96599.67262407474
2023-06-10,54030.016751530784,270894.3757210428,391339.810638363,-64654.9209173078,100231.03741540379
2023-06-11,51458.58070021262,269463.95558470796,390892.9530449964,-66578.12415633882,103859.12039535318
2023-06-12,49318.615428507095,268036.5294459394,389535.6463105382,-68301.89353755424,107210.6528692055
2023-06-13,47487.661964499785,266168.5379181334,387745.0161269052,-69841.62862300563,110181.34260830781
2023-06-14,45645.07603411188,264498.4218184822,385496.7864220316,-71508.21889068479,112753.82060571588
2023-06-15,43498.3640298215,262955.17046104756,384148.1001104469,-73465.20228595728,115758.18753713372
2023-06-16,40784.18378471077,262438.08255132166,383512.4679487204,-75912.3498226704,119444.13968385741
2023-06-17,38319.70420025458,260922.2434829326,382807.4651376099,-78036.66907250896,122634.49897006313
2023-06-18,35807.974549911836,259304.2782830834,382155.2820436678,-80096.49662506969,125792.79347336835
2023-06-19,33266.028179810455,258022.59500276193,381169.066340329,-82144.67521031499,128934.76953436142
2023-06-20,30354.19827332478,259152.79726184375,381040.7729523723,-84463.37897361038,132445.74021754184
2023-06-21,27798.816570706625,260727.76028353974,381836.27863565873,-86486.51645616285,135496.7523273888
2023-06-22,24999.101382737143,262253.7470886242,381898.7281294837,-88681.1426926599,138913.97460401282
2023-06-23,21982.244371400564,263900.87203572644,381862.50254712877,-91049.72095081878,141845.1888050602
2023-06-24,18644.818083848586,265788.08761719445,381665.57285851665,-93691.82386294377,143781.51433530307
2023-06-25,15079.354938056029,267793.27277906716,381012.36332818045,-96529.3102430954,144720.17011714994
2023-06-26,11264.989025685376,269843.07000948954,380090.25891409133,-99407.24767345001,145055.96512991324
2023-06-27,7268.394623925741,272190.90630754386,380447.0337029958,-102408.1393085389,145353.8680061059
2023-06-28,3544.4567808278985,274604.89040557994,380649.8823794236,-105171.11330821288,144457.6126233416
2023-06-29,-49.436107952468774,277316.4536040922,381328.41852371267,-107581.96725441588,145062.76644555695
2023-06-30,-3946.516869940357,280226.225057241,382119.80351279705,-109924.77691842547,145003.81331378763
2023-07-01,-7608.850237947393,283185.61338339373,382488.6382346174,-111775.15186406019,143844.7446754025
2023-07-02,-11208.241348144797,286333.1069928828,382709.989000246,-113040.9360717995,142078.76436845685
2023-07-03,-14638.858390209532,289735.9765587416,383015.40611205413,-113862.0112867123,140038.7433031013
2023-07-04,-17964.454091788113,293077.79652803816,383393.5085580296,-114409.80151404838,137632.051647288
2023-07-05,-21336.61860458264,296359.6539039889,383700.7028262676,-114768.92928886715,134952.39557909
2023-07-06,-24726.715828077475,299653.7086073762,383114.36226259044,-114721.39295970183,132270.4243988146
2023-07-07,-27230.70975348501,304213.41220472066,383218.95496993075,-113918.51118015184,130241.59640845693
2023-07-08,-29373.57424629946,308213.41824349336,384179.51692115766,-112601.57938433102,128661.96068709179
2023-07-09,-31342.380040191158,311870.0527432024,385428.86161319894,-111202.28321720727,126936.04183985757
2023-07-10,-32974.62265943383,315590.15193846874,386826.8414592581,-109656.74149245337,125231.90522517962
2023-07-11,-34091.82320188041,319481.4241543676,388084.024357689,-107769.66453354286,123384.63784086649
2023-07-12,-34881.127360758794,323672.0033904877,388874.10379017395,-105720.12940687974,121204.135795013
2023-07-13,-35132.30480327361,328730.2825269184,391379.8394787704,-103764.66763470216,121433.48175529344
2023-07-14,-35260.354668035885,334149.4601178773,393238.8353949731,-101219.25019762032,121385.12256429915
2023-07-15,-35260.354668035885,339479.562697544,395304.7923475414,-98648.2241818837,121418.03701632754
2023-07-16,-35260.354668035885,344614.79663340485,397567.4240699799,-96182.1298394832,121554.07701562767
2023-07-17,-35260.354668035885,349522.31106720754,400199.4704960292,-93923.47061210172,121755.85692839425
2023-07-18,-35313.54869721103,354735.1411701788,402351.427519586,-91726.2438245208,122140.64898511017
2023-07-19,-35493.921478692144,360013.5633271294,403803.2865617412,-89239.08335935921,122742.83453936156
2023-07-20,-36256.642160293835,364870.71895565826,405110.97809203353,-86891.90611637467,123468.08945595413
2023-07-21,-37307.477784596005,369585.55222484854,406699.5995018123,-84941.13693480192,124163.02997111015
2023-07-22,-38590.41846244134,374146.0287132422,408488.2818358761,-83219.48649222101,124809.2800282264
2023-07-23,-40038.87796300078,378379.74063527654,410440.0088051407,-81517.16782595757,125473.06297010467
2023-07-24,-42177.66635788421,381571.8240807907,412224.22294698085,-79452.63060249138,126293.43976440075
2023-07-25,-45176.60438398752,384080.25439478137,412976.31641423976,-76842.85784076879,127424.20519532527
2023-07-26,-48937.37386603682,385554.4867727759,412684.7107706257,-73730.17272730365,128784.91257820223
2023-07-27,-52213.813959877996,387676.9163605776,411868.6476182119,-71092.57305008451,129932.3800669264
2023-07-28,-55837.891861204036,389189.00388242916,410960.3321901178,-68233.69499585457,131029.02116142477
2023-07-29,-59652.51052472995,389997.91015571984,409852.5173052007,-65036.48140006898,132100.46774390546
2023-07-30,-63799.74586489986,390747.6063394458,408994.31080562575,-61800.02894460256,133108.87726496827
2023-07-31,-68109.01728311242,391406.6321863368,409741.5692628818,-58458.285470683164,134051.57806868924
2023-08-01,-72592.81834937017,391722.5352788822,409900.2391393845,-54653.26315776716,135288.18172046746
2023-08-02,-75746.35564349794,390050.3460762859,407999.24119367125,-52138.81165058105,136047.005770844
2023-08-03,-78196.43595764993,387598.2142807964,405158.045726486,-50425.50434921598,136590.29089265224
2023-08-04,-80386.08438650517,384718.05431028944,401970.2932939731,-48992.29289932759,136899.51861088877
2023-08-05,-82443.82112337578,381786.5373083964,398381.1510130295,-47762.88327862051,137091.71297047447
2023-08-06,-84280.63451405197,378381.26707086177,394897.81472862075,-46642.79852128661,137246.208300521
2023-08-07,-85947.45968492125,375019.4300893643,390922.5764454088,-45677.31547785348,137276.82482150913
2023-08-08,-87650.67054451292,371898.21944452653,386936.025577918,-44522.88259493456,137311.41956667
2023-08-09,-89440.87966038396,368834.7589876342,383434.397045127,-43073.503433854465,137506.74230003555
2023-08-10,-91145.80710062054,365803.9777501852,379810.2593696362,-41506.01137437061,137579.4038873753
2023-08-11,-92852.40049282878,362237.3966319355,377187.0332681622,-39446.02375902587,137535.7921146519
2023-08-12,-94330.67904995037,358421.6792893449,374941.86876938114,-37145.83692182474,137375.13935034638
2023-08-13,-95772.33391897145,354675.81604988547,372638.74093072145,-34877.74205992509,137133.8801593862
2023-08-14,-97071.11977531461,351271.7935714476,369712.43467187404,-32768.20009372419,136872.53671921557
2023-08-15,-98382.55454950393,347704.9352624991,366388.2216084718,-31291.31361938968,136551.92934009014
2023-08-16,-99465.6746359851,343786.0137857048,362580.2473395237,-30357.163170889722,136296.0956208137
2023-08-17,-101036.62507841091,340111.2586446838,358880.6888385607,-29776.350491209127,135822.17238490403
2023-08-18,-102958.18349740401,336490.7596241769,355185.1882133452,-29428.100991545558,135407.97994928318
2023-08-19,-105969.94752506896,332873.2314356015,352544.7170072388,-29101.131206235827,135004.71315693963
2023-08-20,-109721.73508227122,330587.0544363665,349070.65260054916,-28926.232374045074,134691.64095225732
2023-08-21,-112909.98155271368,328367.98171073827,345186.43011148897,-29113.777786378505,134170.72804972166
2023-08-22,-115664.28426387951,325944.0318080878,341455.5247782677,-29810.376959963818,133776.48517034453
2023-08-23,-118446.41122789263,323360.0178838953,337857.3780604308,-30421.74251563017,133352.13833205338
2023-08-24,-121353.38511489736,320669.748078572,334462.5042833339,-31099.987050329066,133022.50033617727
2023-08-25,-124326.05441763037,317968.9391339536,331339.792497667,-31855.674215214734,132574.37753408123
2023-08-26,-127269.55103319834,315204.94155568385,328378.3009831782,-32630.900298049495,132018.58932524253
2023-08-27,-130202.36183674695,312413.66869910364,325541.862307552,-33344.989112585004,131293.20047553303
2023-08-28,-133015.8856413885,309605.3448167236,322817.10878683324,-34234.02576510761,130528.83833579601
2023-08-29,-136898.2007647846,308576.23495224724,319330.8230014587,-35103.642704805054,129796.16604874043
2023-08-30,-140832.52705672893,307979.45172222547,316096.625037643,-36236.10523186932,128693.93606158649
2023-08-31,-144592.22045462526,307441.52860108105,313036.8516994348,-37548.2613570666,127363.48204403269
2023-09-01,-147987.65422977612,306290.2061922214,310158.5392400981,-38965.02141306186,126205.31074337516
2023-09-02,-151492.52991085532,305232.68495362595,307260.89463704906,-40611.71358760245,125312.04444063941
2023-09-03,-154899.70064292802,304111.6103104308,304362.7050855271,-42421.2424424573,124548.00822228403
2023-09-04,-158195.84316070285,303170.2440320498,301483.30533061107,-44361.793636598144,123605.46796749673
2023-09-05,-161365.07930259185,302159.81323456403,298645.0844899337,-46114.13769118215,122375.6998021329
2023-09-06,-164419.68590735193,301060.6732710785,295825.6349688058,-47893.61272446233,121128.37092478655
2023-09-07,-167127.52192520938,300028.30265394406,292648.77212496096,-49578.58631971117,119730.41399887217
2023-09-08,-169820.61217021683,299233.35089009564,289077.0985180523,-51208.15502944738,118419.69832437292
2023-09-09,-172402.7019047622,298428.0682371196,285467.76215245365,-52772.469069138606,116980.72111718418
2023-09-10,-175065.7516413048,297550.4913685864,281772.1076990301,-54045.86638155117,115490.39948809613
2023-09-11,-177870.89896369682,296545.6073457622,278479.44772783795,-55501.54652888991,114048.77095184321
2023-09-12,-180928.5231987926,295753.62296845653,275320.1617201572,-57304.303584119276,112860.42262715478
2023-09-13,-184066.02713005568,295203.3613072087,272154.33092723537,-59230.26922184336,111639.98465031163
2023-09-14,-187309.18191609762,294979.53288052237,269244.7814794046,-61270.860777554095,110057.10886658137
2023-09-15,-190514.59645251356,295076.3529283313,266511.08127924363,-63354.11200119657,108176.2948746097
2023-09-16,-193369.1760407048,295406.369921495,263546.6707407621,-65362.41055586459,106333.60054911423
2023-09-17,-196013.99223149917,295926.26258328976,260527.09177121724,-67334.02891781261,104489.50673319628
2023-09-18,-198546.39049696247,296777.98504710186,257530.9554667275,-69023.2006130943,102558.9354622431
2023-09-19,-200972.64415342658,298219.80470736354,255051.04406544226,-70646.63645049275,100530.35601765255
2023-09-20,-203226.82873528713,299999.5156733101,252250.61989516314,-71919.936753358,98637.97603860404
2023-09-21,-205386.09822209782,301628.7691359615,249065.94960315406,-73136.09384672098,96827.32637343818
2023-09-22,-207455.77332977092,303185.91719670553,245781.029805629,-74400.17029001075,95003.14578267014
2023-09-23,-209545.19306847343,304420.57760859246,242338.36920984043,-75778.94771861254,93148.66395764997
2023-09-24,-211739.9768594794,305236.7898880548,238751.6837674888,-77257.87662496984,91225.27437682716
2023-09-25,-214103.26587479105,305381.6950133975,234920.19456246446,-78812.58084255514,89119.66194009119
2023-09-26,-216388.88252049027,305623.4291769668,231066.24589471467,-80368.95782049352,87057.33839504785
2023-09-27,-218586.28876288873,305083.78907273535,227280.19577227815,-81958.85476042757,85170.33180404828
2023-09-28,-220636.91919546152,305825.0336452548,223500.2774661304,-83325.66308242102,83108.93343728172
2023-09-29,-222601.3032640497,307444.40590387833,220282.3941640432,-84427.71701554093,81012.62699970059
2023-09-30,-224915.96382316336,309566.21796411223,217831.88392924677,-84920.82281550397,78392.71565380757
2023-10-01,-227321.6436187478,313173.5343422586,217501.02246138031,-84169.22316163435,75488.17294927445
2023-10-02,-229509.83574256758,316361.1378483207,216557.98847659188,-83117.35059853204,72858.8751270471
2023-10-03,-231741.53963318077,319467.9022454149,215633.1938094839,-81446.30340545197,70793.18527494255
2023-10-04,-233929.67914229957,322631.0834387264,214699.4424699877,-79415.57785911855,69108.98286320243
2023-10-05,-235974.3487448245,326365.19576172286,213702.88378418135,-77411.89518317443,67888.00615047429
2023-10-06,-237793.6877109093,330152.2721554699,212106.9049223277,-75565.02737304664,66937.26818228756
2023-10-07,-239627.55538651804,333858.6688845061,210259.3320557063,-73718.06351329757,66172.06931330301
2023-10-08,-241368.64590476544,337164.51679947204,207830.85108123499,-72033.9196116553,65331.63262262991
2023-10-09,-243461.96540795505,339916.21959511755,205007.06475978397,-70381.4644849056,64652.896369665745
2023-10-10,-245800.91616402555,342241.8579198636,201933.99900462423,-68562.25835098603,64209.7573395616
2023-10-11,-248547.52856058057,343215.6904409588,198459.49223073994,-66648.29710848363,63318.67027359849
2023-10-12,-251640.38487664412,343009.0315485474,194790.19331125956,-65083.2202757389,61852.56123429856
2023-10-13,-254588.13336360618,342854.1230965626,191336.90954792203,-63695.77114246324,59795.951069858624
2023-10-14,-257403.24114433664,342838.3351670379,187983.47419572226,-62224.35983046407,57451.69344431273
2023-10-15,-259964.1655128487,343125.41630828555,184649.98566695288,-60908.07303819633,54949.47427510956
2023-10-16,-262083.91018794753,343931.3843664771,181425.19330057385,-59571.636398391645,52436.41601458362
2023-10-17,-263869.1789973071,345593.00059102586,178589.58798164,-58152.38717931881,50138.15558649862
