date,AAVEUSDT_PERP,ADAUSDT_PERP,ALGOUSDT_PERP,ATOMUSDT_PERP,AVAXUSDT_PERP,AXSUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETCUSDT_PERP,ETHUSDT_PERP,FILUSDT_PERP,FTMUSDT_PERP,ICPUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MANAUSDT_PERP,MATICUSDT_PERP,NEOUSDT_PERP,SANDUSDT_PERP,SOLUSDT_PERP,THETAUSDT_PERP,TRXUSDT_PERP,UNIUSDT_PERP,VETUSDT_PERP,XLMUSDT_PERP,XRPUSDT_PERP
2021-03-23,0.0,157.49216224860066,0.0,696.5779617938772,0.0,0.0,305.7549221176008,406.25273162666684,1340.0419991867454,0.0,0.0,715.3921885015478,603.9393075278826,886.4299169050304,0.0,0.0,0.0,299.09775421921574,769.405517979659,0.0,0.0,0.0,0.0,0.0,0.0,1504.6640864766528,0.0,1238.546399597586,-121.16565335709944,955.2393984618371
2021-03-24,0.0,240.9631664600593,0.0,662.8067307166818,0.0,0.0,241.00712531883931,507.6710343634396,1382.7881219094002,0.0,0.0,615.5629628852641,591.3093837339226,867.1557258675475,0.0,0.0,0.0,180.92022253953553,707.4886175370058,0.0,0.0,0.0,0.0,0.0,0.0,1618.0961046746613,0.0,1509.3345541416847,-138.27066269885879,736.6255871530988
2021-03-25,0.0,349.72294819255103,0.0,681.3659778108461,0.0,0.0,223.7289033567344,496.94576128013415,1358.808960167348,0.0,0.0,627.3488942934573,559.7346623308415,849.0764989672441,0.0,0.0,0.0,224.38406794200083,649.4076719360027,0.0,0.0,0.0,0.0,0.0,0.0,1542.8509853314927,0.0,1367.7109117999755,86.07406252057052,982.8396940708019
2021-03-26,0.0,365.66001554165956,0.0,735.3830168311925,0.0,0.0,261.3672177732825,538.2052936267527,1270.328396294136,0.0,0.0,667.2916541136999,568.6626179027886,818.0061686720728,0.0,0.0,0.0,241.16058715376283,620.0038619361969,0.0,0.0,0.0,0.0,0.0,0.0,1234.2656238374905,0.0,1287.385699834022,246.3421675320787,1145.9376789508667
2021-03-27,0.0,358.98818895882556,0.0,711.6985363252476,0.0,0.0,297.312885534607,591.056880966303,1325.4170474447756,0.0,0.0,637.677534433773,568.6626179027886,834.1860079227246,0.0,0.0,0.0,250.396765460881,603.03246867319,0.0,0.0,0.0,0.0,0.0,0.0,1234.2656238374905,0.0,1198.683335040779,287.2975756899261,1095.311821485793
2021-03-28,0.0,371.17477787374116,0.0,686.6713172454944,0.0,0.0,253.9834851335082,606.595323408701,1411.7722684184669,0.0,0.0,628.5747983921669,577.6818568125567,811.7532707327383,0.0,0.0,0.0,211.83928988387726,544.4978577858166,0.0,0.0,0.0,0.0,0.0,0.0,1260.3866409111702,0.0,1239.0925265336018,293.74555161521886,1102.231035252942
2021-03-29,0.0,350.61184139652227,0.0,623.479150261517,0.0,0.0,250.29099895619035,612.2489457762132,1455.4482895429112,0.0,0.0,677.5411997565159,584.2591115224227,758.4452807032872,0.0,0.0,0.0,210.5595141083469,637.9604495466895,0.0,0.0,0.0,0.0,0.0,0.0,1260.3866409111702,0.0,1239.0925265336018,216.43220700779935,1118.7416399652975
2021-03-30,0.0,253.86983156224727,0.0,453.553045196393,0.0,0.0,195.9235451099637,698.2257293022445,1585.9755869192884,0.0,0.0,760.7966423118876,596.4119442484978,849.1649254006281,0.0,0.0,0.0,179.97124436427578,571.0740480843547,0.0,0.0,0.0,0.0,0.0,0.0,1465.3480621534866,0.0,1142.5236574588762,-47.36223709238848,1199.7995007954703
2021-03-31,0.0,159.23562608391597,0.0,304.9136387843686,0.0,0.0,296.331021230446,783.9272455668382,1599.4792840268303,0.0,0.0,949.6113026131143,823.6522555035931,958.0852888104663,0.0,0.0,0.0,239.46902015917806,543.904284905317,0.0,0.0,0.0,0.0,0.0,0.0,630.3522283960284,0.0,1086.9806145160853,-176.35629121153946,1447.7018981922806
2021-04-01,0.0,-128.22553790555162,0.0,44.56414743604597,0.0,0.0,334.23716978243823,1048.5531242158715,1581.673784287405,0.0,0.0,1003.0782572255181,973.4403914752977,982.609312140644,0.0,0.0,0.0,167.0553826384471,343.3222924555266,0.0,0.0,0.0,0.0,0.0,0.0,450.9722733080847,0.0,1067.9996986109231,-496.9101489519529,1377.3584795662957
