date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,XRPUSDT_PERP
2023-11-01,2303.237838500748,2878.7587675461846,2704.4099296360537,2113.593464317025
2023-11-02,2602.5852368069177,2776.794100693477,2359.487135441014,2261.1335270586037
2023-11-03,2609.8552236959504,2638.3475455105927,2376.388581260429,2375.4086495330394
2023-11-04,2517.7916245193433,2579.842556413552,2436.6415535336155,2465.724265533504
2023-11-05,2717.787169673296,2644.9830393552197,2608.178878411655,2029.0509125598396
2023-11-06,2544.7596938909105,2755.255819393183,2863.959449578955,1836.025037136963
2023-11-07,2224.30613487874,2995.0022761718674,3072.581891689661,1708.1096972597438
2023-11-08,2258.6321124415617,2929.854866174113,3078.3439901248685,1733.169031259469
2023-11-09,2978.988968998888,3586.5217609705132,1424.5911876257544,2009.8980824048572
2023-11-10,3023.6708234201287,3553.394866716884,1487.2723155034648,1935.6619943595335
2023-11-11,3105.7602587331407,3440.176110423926,1532.3675668385338,1921.69606400441
2023-11-12,2987.558161796641,3453.9958554228438,1618.403314655725,1940.042668124803
2023-11-13,2741.121780511004,3392.4628848957714,1795.9121943510017,2070.5031402422355
2023-11-14,3010.0698099463766,3428.476274935324,1673.6082489261455,1887.8456661921662
2023-11-15,2868.7251771971137,3167.761716323562,1886.8948046670434,2076.6183018122947
2023-11-16,2699.7493527287916,3295.733929047784,1991.632267875242,2012.8844503481942
2023-11-17,2744.2961618412432,3413.110703265559,1962.7324552666998,1879.8606796265103
2023-11-18,2787.8309576431734,3501.6699607404225,1962.7324552666998,1751.0488490443497
2023-11-19,2794.237624354557,3554.1993107073604,1974.4895931115898,1677.0734718265064
2023-11-20,2881.7308167629003,3643.0908534706646,2024.6117753716446,1450.5665543948028
2023-11-21,1242.4088335334911,4428.135841243973,2713.4669017407687,1615.988423481779
2023-11-22,1117.310080569308,4375.0960454322485,2679.5563361594695,1521.1615878026907
2023-11-23,948.3719608215927,4533.771218980514,2913.2617812496383,1604.595038948267
2023-11-24,752.9597048651907,4603.989816209606,3052.425748646772,1590.6247302784445
2023-11-25,640.2546156304907,4634.247185824969,3134.2850879504463,1590.6247302784445
2023-11-26,509.02829580500634,4700.847591474211,3220.5544226627835,1569.5696900580108
2023-11-27,292.7537786917501,4994.591365112285,3260.4746099004988,1452.1802462954788
2023-11-28,158.23884099043516,5139.687212712188,3306.4236688848364,1395.650277412553
2023-11-29,3.979039320256561e-12,5392.896123340599,3253.8462583189557,1353.2576183404547
2023-11-30,-155.54687732490086,5340.3015591578005,3269.424417252496,1234.7271462648087
2023-12-01,-231.24802965038208,5264.986950517732,3307.720250382645,1196.0447694492448
2023-12-02,-260.0301647580044,5252.751015738478,3271.294711694017,1215.9241078095047
2023-12-03,-291.21889275118275,5179.3661010193255,3332.435857059988,1196.9791491695098
2023-12-04,-189.1648525994167,4792.753441564584,3734.71242547244,1283.3692803635643
2023-12-05,-161.4479680051321,4554.479330116744,4043.1978235892343,1240.8748782888945
2023-12-06,-198.6736681084182,4581.005741113187,3756.358628146137,1463.9619626322635
2023-12-07,-142.12512221752027,4490.567647578757,3636.190345359985,1731.1168848437408
2023-12-08,73.71317159255122,4308.775012460086,3695.145680282173,1922.3661356652028
2023-12-09,205.4697878527312,4179.093939382126,3639.697479316543,1975.7387934486121
2023-12-10,355.71379873580383,4021.461105183055,3520.1540158247453,2102.6710802564075
2023-12-11,874.9565270930902,4072.9395970918345,3471.8514467847144,1580.2524290303745
2023-12-12,1410.8407323213228,3965.489747745176,3230.66176865246,1393.0077512810544
2023-12-13,1747.1807430284312,3822.8875098981925,3135.253417348141,1294.6783297252464
2023-12-14,2005.750117152379,3714.1953814864914,3069.884765500149,1210.1697358609931
2023-12-15,1986.217804931899,3953.580549623729,2897.3567511099973,1162.8448943343883
2023-12-16,1991.3050042440968,4039.8933589552225,2885.845803645308,1082.9558331553837
2023-12-17,1878.5368738156174,4113.604992029252,3037.06806210462,970.7900720505233
2023-12-18,1873.2450272038388,4183.252811529236,3101.7890583816384,841.7131028852989
2023-12-19,2126.3219944546427,4346.341244037398,2924.206960393422,603.1298011145481
2023-12-20,2551.0484911242756,4180.971642055774,2720.924571251852,547.0552955681104
2023-12-21,2841.166174306762,4047.050134573849,2524.3716428903754,587.4120482290249
2023-12-22,3118.1231535190004,3870.7139268852834,2402.5839737308606,608.5789458648684
2023-12-23,3359.7952335796895,3686.7466925583017,2396.5723410598644,556.885732802155
2023-12-24,3348.8354992840455,3719.3859595219706,2451.1795930588114,480.5989481351841
2023-12-25,3375.8347299830734,3589.108980213678,2362.867431811457,672.1888579918033
2023-12-26,2624.8871572321314,3930.6770073346884,2749.4209562316037,695.0148792015892
2023-12-27,2875.419956306915,3904.073802430512,2394.619631071986,825.886610190598
2023-12-28,3185.2206346846424,3444.2687787055174,2435.2804276626566,935.2301589471936
2023-12-29,3305.443878842933,3359.1304065251556,2458.1294554189644,877.2962592129579
2023-12-30,3544.931811897145,3224.0446518390463,2440.163521304071,790.8600149597476
2023-12-31,3643.053459196153,3243.5349088718194,2464.6081506922565,648.8034812397831
2024-01-01,3717.4437962483717,2995.463610420554,2554.72287123842,732.3697220926662
2024-01-02,3523.012889853544,3213.9467274418234,2580.1444999233186,682.8958827813237
2024-01-03,4960.617031531271,3007.28350056591,2032.099467902824,5.343281372915953e-12
2024-01-04,4873.581350442427,2911.294405384234,1836.300686746612,-378.8235574267266
2024-01-05,4547.336105650574,2937.0518379979007,1718.4530716091747,-797.15898474235
2024-01-06,4229.280414657001,2978.5238717272287,1548.8314705727828,-1243.3642430429877
2024-01-07,4036.1834602795625,2947.723460093813,1334.3559211465874,-1681.7371584800362
2024-01-08,4297.391598508574,2645.975649533118,1411.646650981003,-1644.9861009773024
2024-01-09,4061.727086099069,2632.536689275499,1558.7286471797781,-1747.0075774456516
2024-01-10,4184.62087295095,3018.985106031623,1499.8182762685508,-1296.575744748876
2024-01-11,4021.5253712155118,2990.381282089847,1920.0260819065127,-1068.0672647881279
2024-01-12,4347.020116682931,1913.8666747135276,2409.6340546273013,-1329.47915397624
2024-01-13,4208.639288029785,1658.50999302403,2707.6435704362425,-1425.2071485099427
2024-01-14,4403.889775415062,1382.8388581933225,2560.781528321048,-1652.4898380705656
2024-01-15,4209.679601594683,1241.0194843260085,2768.929843336894,-1780.3710707424127
2024-01-16,4209.679601594683,1133.5273573036197,2895.743138591389,-1771.1991409605862
2024-01-17,4119.597033707911,1058.335374620308,2873.1548822940636,-1948.9127093777188
2024-01-18,4384.211673145167,708.1863589892359,2690.315387589604,-2217.286580275993
2024-01-19,4384.211673145167,516.2156953742677,2602.5522570354783,-2487.418905916813
2024-01-20,4552.522651507434,376.87138058624976,2472.475906740017,-2598.130061166299
2024-01-21,4683.485475060859,246.77803105715577,2322.019739390227,-2747.7167544917565
2024-01-22,4439.698306643863,-147.02991946592618,1802.8900680908887,-3610.3817057993333
2024-01-23,3809.5931982089196,-433.07000753055024,1249.1557641219251,-4198.661078201567
2024-01-24,3207.956615310347,-647.077727434859,865.5690670498277,-4769.658625942781
2024-01-25,2815.6766653061386,-850.9145570549729,497.3701708799095,-5136.803866384872
2024-01-26,2667.583124140477,-610.3745056177332,313.80280851143215,-5009.618545277078
2024-01-27,2825.485071550578,-438.0072077759644,162.65395481756786,-5168.1823854637405
2024-01-28,2942.1825943750437,-304.61910656749427,9.43600753089413e-12,-5374.788037015322
2024-01-29,3239.540107979731,53.01072747649232,47.774964287314965,-5243.179359549256
2024-01-30,3315.1190936305784,270.8706771908343,168.30426920992954,-4828.624377932494
2024-01-31,2907.219150406121,379.6405909997986,64.57310143103328,-5283.922661798612
2024-02-01,2775.958798484289,588.9801099627898,56.94613618251343,-5694.861140277978
2024-02-02,2731.3320306080095,797.7608511278319,67.07964038933166,-5906.516353887815
2024-02-03,2599.0455881289226,925.8577047315111,9.421796676178928e-12,-5906.516353887815
2024-02-04,2714.366810470251,916.866559106261,9.421796676178928e-12,-5805.563098993121
2024-02-05,2593.731759887855,965.1928605082442,9.421796676178928e-12,-6051.70435629311
2024-02-06,2593.731759887855,1090.1778465322047,263.5071603001465,-6051.70435629311
2024-02-07,2583.485179281275,1338.8390663174937,654.8498716052718,-5422.82588279596
2024-02-08,2641.3134588893345,1677.7313863699947,875.9618676378554,-4804.993287102815
2024-02-09,2945.714313277099,1962.1965098108403,1164.4287924678674,-3927.6603844441934
2024-02-10,2978.4710481875877,2326.11172333689,1380.075988930851,-3315.341239544673
2024-02-11,2894.3098417069305,2669.6512352719287,1544.7105581823225,-2891.328364838818
2024-02-12,3000.666714452616,2932.8288619092373,1558.4422359223747,-2508.062187715772
2024-02-13,2899.3058998995966,3114.6294652835254,1747.8500612738328,-2238.2145735430454
2024-02-14,3072.0023728104948,3086.240525629545,1954.7045530187181,-1887.0525485412422
2024-02-15,2835.272072101048,3438.1251675197464,2549.383721496185,-1177.2190388830209
2024-02-16,3223.703513510847,3457.7779757553476,2584.528543837824,-733.9899668959822
2024-02-17,3112.1019021311067,3575.5851446112133,2762.164131604157,-550.1488216535232
2024-02-18,3103.0680156352164,3663.3587075488995,2875.6974896662446,-357.8757871496392
2024-02-19,3168.1759237182455,3632.041685330217,3066.034529024219,-133.7478619273201
2024-02-20,3193.6949347085597,3663.1431393920243,3092.0081007367467,51.15382516267957
2024-02-21,2950.639494144506,3860.1900386137963,3163.420931117866,25.749536123840436
2024-02-22,2992.306470846439,3739.672151357555,3171.7014350378986,-96.31994275810808
2024-02-23,2899.801592088436,3728.3157673234145,3090.7755808476354,-281.10705974051507
2024-02-24,2920.271063043284,3718.0820845794938,3090.7755808476354,-274.81289130730556
2024-02-25,2959.480091900511,3739.159165921187,2995.2325638325497,-306.1281783457522
2024-02-26,3123.111810837916,3414.1525395518215,3229.2008193881006,-233.53483022216034
2024-02-27,3047.198374386033,3303.863053215385,3401.808821019692,247.12975137889975
2024-02-28,3227.291567735526,2630.284789432814,3664.980546394626,477.4430964370455
2024-02-29,2908.1676300034405,2651.83419073447,3628.295714445396,811.7024648167039
2024-03-01,2786.0978790831855,2622.112005947364,3446.9551416036634,1144.8349733657979
2024-03-02,2775.6758469465317,2539.7012201810044,3343.79982978412,1340.8231030883558
2024-03-03,2747.835416984232,2530.249954068774,3319.7847664750857,1402.129862471918
2024-03-04,2805.3996221721372,2250.1391608235313,3250.187576023667,1694.2736409806723
2024-03-05,2805.3996221721372,2205.6358901825497,3919.082623101347,1071.7839610440149
2024-03-06,2679.305021539486,2518.2643763327965,3602.797107891436,1199.6334942362907
2024-03-07,2387.6476340638797,2586.1676914941554,3693.069296549289,1333.115377892686
2024-03-08,2411.3839760940095,2604.4642810846362,3654.2368345858818,1333.115377892686
2024-03-09,2411.3839760940095,2590.4875311145697,3644.92078832399,1357.0507658878835
2024-03-10,2354.6229073472896,2699.04821488406,3654.16712349192,1292.1617542767406
2024-03-11,2466.4058275675343,2914.2121649055666,3776.2571901489778,843.1248173779318
2024-03-12,2611.391523170854,2942.822941900958,3576.7012482598,869.084286668398
2024-03-13,2012.1802846717937,3164.5712458072676,3802.546750562171,1020.701718958778
2024-03-14,1985.5248431010525,3245.450629069191,3686.325181793427,1082.6993460363387
2024-03-15,2233.7207877390542,3275.2563742539387,3532.0756724158,958.9471655912153
2024-03-16,2166.7714020418375,3334.3609505758136,3582.439458396465,916.428188985892
2024-03-17,2166.7714020418375,3347.2305107570637,3629.6795901000237,857.2398873489875
2024-03-18,2256.013118110399,3459.1978472322858,3327.1099718970695,957.679062760255
2024-03-19,2519.9434617754314,2675.0148347845816,2218.8415662930247,755.61751271615
2024-03-20,2519.9434617754314,2316.7956967873465,1722.2553429556228,704.9923590175537
2024-03-21,2546.8283636976357,2088.480872571866,1668.945622040368,790.5219500558586
2024-03-22,2601.8490325372036,1879.1097577386874,1350.1009719349954,663.1900934757359
2024-03-23,2631.6425643073976,1811.1028073313707,1214.1672063823928,645.5925339056749
2024-03-24,2804.3012543588547,1867.0458258914691,1214.1672063823928,712.0552505495918
2024-03-25,3064.5566990159464,2087.5124471687286,1339.3069382133083,809.2754447109264
2024-03-26,3141.200767761644,2298.083517588931,1451.652071547038,826.8455229448891
2024-03-27,3169.0624294199442,2418.5411884521814,1395.3570370310485,702.5314474338633
2024-03-28,3319.9581130383626,2662.068499307426,1484.703367858648,718.1418447982531
2024-03-29,3582.969745837873,2715.0771549253705,1459.9316886525114,766.3427930875839
2024-03-30,3582.969745837873,2797.088834159228,1468.0029537382618,731.3750000768056
2024-03-31,3749.678461373117,3023.165213706258,1622.7400564082639,776.720089599322
2024-04-01,3289.3655260526402,2896.0985256900426,1427.9612944921882,645.9926114483256
2024-04-02,2879.425582461062,2059.5146568872165,913.0432735679884,357.0186386827694
2024-04-03,2879.425582461062,1942.1141670088255,756.3155626375105,82.46220714342235
2024-04-04,2978.5310187494456,1958.5511022516725,641.1300653505147,4.277467269275803e-12
2024-04-05,2978.5310187494456,1937.2097577745897,529.2286915704394,-138.2466583411054
2024-04-06,3112.346355827147,2040.1346671442366,480.51512985612135,-202.93758300843143
2024-04-07,3187.087885248609,2170.2775284438503,567.797448352453,-246.4334253661543
2024-04-08,3316.2716887557362,2418.144704783842,867.1716875512018,-106.36867916157459
2024-04-09,3316.2716887557362,2182.135492702576,785.1623247778299,4.291678123991005e-12
2024-04-10,3481.7542339764327,2342.695441415267,890.623021110466,128.67415810208698
2024-04-11,3633.980443445618,2391.361104734536,908.2266563684561,143.58345617995982
2024-04-12,3605.8912298298374,1909.7380509495342,449.7555582503291,-300.6919987435231
2024-04-13,2452.227717856627,1317.6224757548239,9.038103598868474e-12,-698.2967662606266
2024-04-14,2381.4506719685182,1163.3845494144775,-143.3221392791111,-1007.559622095813
2024-04-15,2106.4730798962582,812.5633870467489,-323.3103963507482,-1297.5618354489325
2024-04-16,1870.7719440259837,661.4019939985637,-523.3821007446799,-1652.6042340196293
2024-04-17,1532.5968658841573,247.6194497936026,-702.4850696950443,-1795.7564138221996
2024-04-18,1476.7264321208263,132.64019207807468,-823.2381386674668,-1971.9779929569195
2024-04-19,1470.0373745605332,67.47832465478689,-936.9724426076791,-2120.689029556135
2024-04-20,1604.124155181345,98.6398426082235,-921.4393498730491,-2042.303699014283
2024-04-21,1831.1538341326263,126.98049722566132,-926.3623915048836,-2042.303699014283
2024-04-22,2194.4916959105585,309.44978061697793,-874.4698916033057,-1766.9079986261986
2024-04-23,2589.061800738592,429.2423370564993,-808.0820173710164,-1639.2982772555804
2024-04-24,2974.708446292721,300.0673977855241,-819.3386928667975,-1610.1470259494506
2024-04-25,3373.740807220939,247.37636727803243,-843.0242140887326,-1673.6961055962086
2024-04-26,3255.490382747018,129.7711011504672,-890.9589167893603,-1734.4358442894
2024-04-27,3345.0414114277883,-6.622258297284134e-12,-723.2752064170693,-1818.2073464053044
2024-04-28,3516.8703958041024,-142.02221347152832,-596.9491328806905,-1950.6389680945895
2024-04-29,3470.41667579901,-178.40508403791927,-552.896381091601,-2063.4298903203644
2024-04-30,3065.3188316427963,-474.81940038701754,-687.2644328032047,-2185.276735653365
2024-05-01,2505.0233281474284,-892.7099798598365,-948.8929643820204,-2185.276735653365
2024-05-02,2221.497635847074,-1214.140979988565,-1164.7632278423544,-2221.208803519411
2024-05-03,2143.8037241031498,-915.6745695722244,-1123.2401276292928,-2110.8856502709973
2024-05-04,2230.274223561507,-755.2795884073071,-1109.2970148211157,-2041.3050631037977
2024-05-05,2427.7790295810037,-610.1306050179564,-1067.5762295940722,-1997.1569733723632
2024-05-06,2510.750750258621,-556.9372536416633,-1109.1337765266553,-1840.649835674744
2024-05-07,2286.2021131470615,-597.5719881049268,-1254.4691140712907,-1781.6357108704947
2024-05-08,2388.274716520533,-737.87837493491,-1451.617645446322,-1891.050002088909
2024-05-09,2650.100359682505,-644.3457260911139,-1499.9457474291785,-1978.2589383237034
2024-05-10,2535.1979834139397,-747.4078519186935,-1603.8269730276618,-2102.7703690031167
2024-05-11,2695.1874988671884,-895.221885953567,-1841.4383231029344,-2319.291296269179
2024-05-12,2889.696426466209,-951.3113162123952,-2017.6914322978214,-2556.1194187026367
2024-05-13,2971.36527204508,-814.5384850081422,-2126.975198701794,-2711.2388531356846
2024-05-14,2048.912355952495,-834.0279166605578,-2271.7260895202185,-2896.066554606834
2024-05-15,1959.167475688277,-247.40042253216177,-1891.380865211161,-2644.5555914105475
2024-05-16,1615.7646101864816,-6.622258297284134e-12,-1847.590271641567,-2601.0775066157394
2024-05-17,1615.7646101864816,343.92701637416474,-1467.315352978826,-2456.6476156215685
2024-05-18,1643.3759773485715,642.0151747004443,-1236.8035670617194,-2369.962450305955
2024-05-19,1521.9429497679105,813.4540800237892,-1109.7844504622349,-2395.8635166713407
