date,BTCUSDT_PERP,ETHUSDT_PERP
2024-06-14,2777.259899367593,2203.0987081392745
2024-06-15,2239.7360022973235,2195.2887272574258
2024-06-16,1931.7102132382195,2368.2584391720193
2024-06-17,1597.1037951210797,2008.3507831590005
2024-06-18,766.8620917472055,1930.4677017025233
2024-06-19,411.3552712116633,1970.3107457977098
2024-06-20,-2.3874235921539366e-12,1913.3211190036532
2024-06-21,-1073.390694185524,3485.8038040014653
2024-06-22,-3313.5936978292752,5265.786668519889
2024-06-23,-5222.650005503957,4598.578811067584
2024-06-24,-5668.344394378853,2110.0615667268517
2024-06-25,-4968.949954473317,973.0695899737141
2024-06-26,-5090.014690113583,231.5238249587992
2024-06-27,-5539.576729195913,136.59719393207166
2024-06-28,-6120.391608775048,-216.26408436488424
2024-06-29,-6804.7388669505035,-538.1982961134115
2024-06-30,-6019.107034823623,-539.6143690095896
2024-07-01,-5957.515314590208,-547.6738146086911
2024-07-02,-6074.676887436961,-648.0829336451748
2024-07-03,-6215.244771620086,-1132.4720830207636
2024-07-04,-5983.264227165938,-1682.4348941544715
2024-07-05,-6718.437248796362,-2605.585454018375
2024-07-06,-6718.437248796362,-2963.6440791340074
2024-07-07,-6240.4999672527965,-3286.936804109556
2024-07-08,-6384.225526075571,-3528.087191202849
2024-07-09,-6453.826756282331,-3546.1732437176656
2024-07-10,-6515.988277382237,-3484.011722617761
2024-07-11,-6515.988277382237,-3484.011722617761
2024-07-12,-6557.295434842439,-3442.7045651575577
2024-07-13,-6591.294001018863,-3408.705998981135
2024-07-14,-5999.0635688036455,-3167.3787646646997
2024-07-15,-2451.214911967514,-1207.8516188745452
2024-07-16,-906.2193469998872,-511.7276706802189
2024-07-17,649.1006718891799,-224.71972806538594
2024-07-18,1203.6102794395792,308.01905637254816
2024-07-19,2365.894103785929,900.8319765309379
2024-07-20,3875.3058248688267,1607.5902131918783
2024-07-21,5578.115236090174,2253.967121186924
2024-07-22,6014.214187514468,2165.837238638158
2024-07-23,5703.375718581482,2309.3489740979035
2024-07-24,5075.287533984291,1613.3215964866595
2024-07-25,4807.704337748495,856.1334243989616
2024-07-26,5174.166947174613,748.6285177171856
2024-07-27,5703.79862241752,566.0358274986384
2024-07-28,6382.526987147934,102.84973319297342
2024-07-29,5771.4615606101115,2.3590018827235326e-12
2024-07-30,6484.66820443184,-439.82025901368013
2024-07-31,6464.22038212513,-1082.814401816081
2024-08-01,6791.556705283641,-1874.928485274403
2024-08-02,4248.096302146818,-3816.383446967101
2024-08-03,971.6389548520269,-3516.347400237504
2024-08-04,-847.0669437622664,-2641.852193838594
2024-08-05,-2024.8559345891026,-2497.861750282077
2024-08-06,-2392.464503379019,-2932.348980919885
2024-08-07,-2746.52912302396,-2993.984225531043
2024-08-08,-1017.2407352397925,-1892.0391628527698
2024-08-09,-894.7820071557461,-2021.7978621934872
2024-08-10,-435.50396338325294,-2162.5277942575335
2024-08-11,-469.6542431943762,-2321.111133676178
2024-08-12,-573.6686580212382,-2261.475914288274
2024-08-13,-397.0005254673377,-2173.907126700779
2024-08-14,-251.10541020044909,-2173.907126700779
2024-08-15,-319.703666304813,-2400.3290530443082
2024-08-16,-8.526512829121202e-13,-2510.5638538711073
2024-08-17,-151.42193745374254,-2530.275792964975
2024-08-18,-316.69907748034404,-2553.1180069101824
2024-08-19,-8.526512829121202e-13,-2492.431137061405
2024-08-20,-189.86444847901268,-2589.9169044337928
2024-08-21,359.3801397041145,-3284.7702378222493
2024-08-22,708.736574220102,-3878.027885981412
2024-08-23,3372.2954898286434,-6246.04623461351
2024-08-24,4299.6199347195125,-5635.93919385279
2024-08-25,5160.156725205279,-4839.843274794718
2024-08-26,4774.162145395167,-5225.837854604832
2024-08-27,2805.339151316951,-5453.459409236684
2024-08-28,1678.9944071194911,-4353.211510854214
2024-08-29,1038.2159125023707,-3810.8545954296997
2024-08-30,217.37707873161753,-2975.222691270671
2024-08-31,-178.47923948799837,-3072.7828303680667
2024-09-01,-638.8825342770726,-3324.5271137135933
2024-09-02,-536.156701111091,-3173.12199920214
2024-09-03,-1233.1115403222457,-3249.1175341176213
2024-09-04,-1440.4201145526727,-3481.6385537960214
2024-09-05,-2112.6616688943614,-3602.3011365120783
2024-09-06,-2683.687540906102,-3619.2758302461993
2024-09-07,-2918.8264208685914,-3787.364476214255
2024-09-08,-3160.1269291642184,-3915.2122628518614
2024-09-09,-2359.952171080915,-4025.49269040995
2024-09-10,-2050.2070907793714,-3887.2188369536543
2024-09-11,-1706.1858682513491,-3831.448458022942
2024-09-12,-1518.893922230703,-3918.1355429514815
2024-09-13,-637.9615089241141,-3854.2777156012653
2024-09-14,-166.42773951347561,-3635.9141223002725
2024-09-15,-128.46131475213105,-3429.2356291895608
2024-09-16,-675.3969733711431,-3540.4031790794847
2024-09-17,-569.6420743769132,-3837.254187868226
2024-09-18,-3.410605131648481e-13,-3867.380776818309
2024-09-19,1304.1519662676542,-5598.909778203695
2024-09-20,3083.428423136249,-6916.571576863749
2024-09-21,3863.8769198187897,-6136.123080181207
2024-09-22,4669.345878544688,-5330.654121455309
2024-09-23,5755.8385324936335,-4244.161467506363
2024-09-24,7119.671285223482,-2880.328714776514
2024-09-25,7416.081811154391,-2264.2732383002353
2024-09-26,7677.200560552378,-2090.524217122266
2024-09-27,7645.742312480907,-1319.153682976288
2024-09-28,8056.654933065438,-933.7403123294196
2024-09-29,8366.381456025523,-622.5280461351718
2024-09-30,6720.79664431803,-939.5880222064955
2024-10-01,6298.475888312926,-3074.8228535872804
2024-10-02,4335.749053303361,-5093.150838599833
2024-10-03,3026.456252424147,-5824.410777260774
2024-10-04,3409.7605630302264,-6316.259106782663
2024-10-05,3835.6673470469755,-6164.332652953023
2024-10-06,4199.788154292643,-5800.211845707355
2024-10-07,4256.757563220297,-5743.242436779699
2024-10-08,3878.078303646545,-6121.921696353454
2024-10-09,1357.7597181132128,-5655.215654966298
2024-10-10,208.9409405456106,-4494.077592766622
2024-10-11,1404.516075319894,-6204.60647424787
2024-10-12,2772.72776773059,-7227.272232269407
2024-10-13,3584.9178675513017,-6415.082132448697
2024-10-14,5115.751759616454,-4884.248240383544
2024-10-15,6299.957930200717,-3700.042069799282
2024-10-16,7296.6890946142685,-2703.3109053857297
2024-10-17,7848.555761568902,-2151.444238431097
2024-10-18,8559.892979834069,-1440.10702016593
2024-10-19,8946.854141365779,-871.1989364172688
2024-10-20,8781.119829819605,76.08948553715959
2024-10-21,7558.569917810198,212.03036323448825
2024-10-22,7792.142049597526,137.56095848829182
2024-10-23,8104.270784686509,-484.3992027456867
2024-10-24,9026.099779467273,-942.1791747593236
2024-10-25,8163.289661606555,-1836.7103383934468
2024-10-26,7887.898261087793,-2112.101738912207
2024-10-27,7795.450360830662,-2204.549639169338
2024-10-28,8053.435491492924,-1946.564508507078
2024-10-29,8584.336275187663,-1415.6637248123366
2024-10-30,9062.465760416184,-937.5342395838168
2024-10-31,8802.06455918039,-1197.9354408196127
2024-11-01,8544.092561709944,-1455.9074382900576
2024-11-02,8290.32695959369,-1709.6730404063107
2024-11-03,7861.185110140774,-2138.8148898592276
2024-11-04,7181.336245275533,-2818.663754724469
2024-11-05,6803.266795633763,-3196.7332043662377
2024-11-06,6912.712990429632,-1985.2434646643565
2024-11-07,6001.375810312182,-350.59404506331975
2024-11-08,6715.9959905503865,669.665711303087
2024-11-09,7042.966929227489,1867.2907560693857
2024-11-10,7018.964277283861,2826.9490664511386
2024-11-11,5589.493408462784,3368.2416747947555
2024-11-12,4429.5832779152,1856.0828476651577
2024-11-13,4673.851991574331,2071.6649760998707
2024-11-14,4711.382544761612,2156.915155837
2024-11-15,5547.954799651559,2699.557154002067
2024-11-16,5921.027201362459,3224.0085716875224
2024-11-17,5971.703082807032,3287.973258161877
2024-11-18,5971.703082807032,2983.968826488113
2024-11-19,5613.609805994776,2100.71555850764
2024-11-20,6690.814920328701,2138.8026171508236
2024-11-21,6853.614461300978,2138.8026171508236
2024-11-22,7048.138943103614,1850.685804968276
2024-11-23,7025.511184963758,2153.9727826118005
2024-11-24,7247.97030400374,2408.2339879702017
2024-11-25,6181.844756789906,2931.3901042244534
2024-11-26,6181.844756789906,2662.8602372613836
2024-11-27,6090.618350063777,2269.281675414335
2024-11-28,6448.693158815944,3034.9431840138905
2024-11-29,6251.033279258298,3748.966720741708
2024-11-30,5889.270403199121,4110.729596800884
2024-12-01,5664.053373876435,4335.94662612357
2024-12-02,6084.2741150913835,3915.7258849086224
2024-12-03,6309.399347543327,3690.6006524566783
2024-12-04,6057.389861646839,3942.6101383531654
2024-12-05,5260.142416358276,3691.1778381918084
2024-12-06,5445.262941814833,3947.7688584416746
2024-12-07,5939.000550225854,3933.0471112840564
2024-12-08,6193.337377966316,3806.6626220336884
2024-12-09,5423.065556014737,3548.3012034403278
2024-12-10,6216.458500399025,3783.54149960098
2024-12-11,6216.458500399025,3783.54149960098
2024-12-12,5924.465321004394,4075.5346789956106
2024-12-13,5924.465321004394,4075.5346789956106
2024-12-14,5966.534668304239,4033.465331695766
2024-12-15,5915.256626374599,4084.743373625407
2024-12-16,5915.256626374599,4084.743373625407
2024-12-17,6040.026096054933,3959.973903945073
2024-12-18,5897.58694861353,4102.413051386477
2024-12-19,6163.957319176577,3760.4224075028087
2024-12-20,6350.723345119824,3428.0302525336188
2024-12-21,6469.0494664462985,2750.1616800970223
2024-12-22,6343.683557781491,2275.43785131902
2024-12-23,6526.695401279287,2232.163286786475
2024-12-24,6310.086926707437,2340.390141838689
2024-12-25,6627.179050811734,2592.9450817823754
2024-12-26,5459.719072857093,1979.1421813938928
2024-12-27,4830.496362703518,1740.741897674363
2024-12-28,4830.496362703518,1567.8582334932325
2024-12-29,4260.1456024013405,1476.5803102219982
2024-12-30,4013.3290606673263,1235.89904241089
2024-12-31,3613.9766617082805,1006.6129428610653
